cluster_id;alarm_id;ne_id;NOTE SPV;domain;network;ne_type;std_probable_cause_no;geo_code;first_occurrence;last_occurrence
23895;"EFMTX;65eeb0f21cf17b000167d3d7";latiitfc/prer/1;CORRELAZIONE OK CLUSTER 23895;tx;sdh;prer;loss of signal los;lati;2024-03-11 08:21:22;2024-03-11 09:40:25
23895;"EFMTX;65eeb0f25e16e30001ac43e0";latiitan/prer/1;CORRELAZIONE OK CLUSTER 23895;tx;sdh;prer;allarme protezione;lati;2024-03-11 08:21:22;2024-03-11 09:04:30
23895;"EFMTX;65eeb11953da8b00018bc714";latiitan/prer/3;CORRELAZIONE ERRATA SU CLUSTER 23895;tx;sdh;prer;signal degraded;lati;2024-03-11 08:22:00;2024-03-13 12:51:06
23895;"EFMTX;65eeb0f21cf17b000167d3d9";latiitfc/prer/1;CORRELAZIONE OK CLUSTER 23895;tx;sdh;prer;scheda guasta;lati;2024-03-11 08:21:22;2024-03-11 09:40:25
23982;"EFMTX;65eeb25b4235370001fece6e";romaitqm/ad64/2;CORRELAZIONE ERRATA SU CLUSTER 23982;tx;sdh;ad64;apparato isolato;roma;2024-03-11 08:27:23;2024-03-11 09:33:42
23982;"EFMTX;65eeb2761cf17b000167d76c";romaitgck85/dxc/5;CORRELAZIONE ERRATA SU CLUSTER 23982;tx;sdh;dxc;signal degraded;roma;2024-03-11 08:27:50;2024-03-11 08:34:51
23982;"EFMTX;65eeb2d27a13f70001b9a472";romaitdg/oadm/19;CORRELAZIONE ERRATA SU CLUSTER 23982;tx;sdh;oadm;signal degraded;roma;2024-03-11 08:29:22;2024-03-11 09:41:13
24048;"EFM;65eeb40aee67170001606683";gbscrm063;CORRELAZIONE OK CLUSTER 24048;mob;an;erbsc;cell logical channel availability supervision;roma;2024-03-11 08:34:34;2024-03-11 10:20:05
24048;"EFM;65eeb480ee671700016066ca";gbscrm063;CORRELAZIONE OK CLUSTER 24048;mob;an;erbsc;cell logical channel availability supervision;roma;2024-03-11 08:36:32;2024-03-11 10:24:03
24048;"EFM;65eeb480ee671700016066cb";gbscrm063;CORRELAZIONE OK CLUSTER 24048;mob;an;erbsc;cell logical channel availability supervision;roma;2024-03-11 08:36:32;2024-03-11 10:24:03
24048;"EFMTX;65eeb4d0ce901400013b4a4e";romaitgc/ad16/181;CORRELAZIONE OK CLUSTER 24048;tx;sdh;ad16;sef sef;roma;2024-03-11 08:37:52;2024-03-13 08:36:15
24256;"EFMTX;65eeb8b76423e50001f28bbd";romaitgc/wdm/303;CORRELAZIONE ERRATA SU CLUSTER 24256;tx;sdh;wdm;signal degraded;roma;2024-03-11 08:54:31;2024-03-11 11:51:44
24256;"EFM;65eebafb7dcf4f000138f93a";1rrurm077;CORRELAZIONE ERRATA SU CLUSTER 24256;mob;an;lerru;fermo totale rru lte;roma;2024-03-11 09:04:11;2024-03-11 16:10:40
24256;"EFMTX;65eebc0589e9530001bd8dab";romaitbh/ad64/1;CORRELAZIONE ERRATA SU CLUSTER 24256;tx;sdh;ad64;guasto matrice;roma;2024-03-11 09:08:36;2024-03-11 19:15:36
24256;"EFMTX;65eebc0689e9530001bd8db2";romaitbh/ad64/1;CORRELAZIONE ERRATA SU CLUSTER 24256;tx;sdh;ad64;guasto matrice;roma;2024-03-11 09:08:37;2024-03-11 19:15:36
24256;"EFMTX;65eebc0789e9530001bd8dbc";romaitbh/ad64/1;CORRELAZIONE ERRATA SU CLUSTER 24256;tx;sdh;ad64;guasto matrice;roma;2024-03-11 09:08:37;2024-03-11 19:15:36
24256;"EFMTX;65eebc0589e9530001bd8da6";romaitbh/ad64/1;CORRELAZIONE ERRATA SU CLUSTER 24256;tx;sdh;ad64;guasto matrice;roma;2024-03-11 09:08:36;2024-03-11 19:15:35
24256;"EFMTX;65eebbff89e9530001bd8d96";romaitbh/ad64/1;CORRELAZIONE ERRATA SU CLUSTER 24256;tx;sdh;ad64;guasto matrice;roma;2024-03-11 09:08:31;2024-03-11 19:15:35
24256;"EFM;65eebafb7dcf4f000138f939";1rrurm077;CORRELAZIONE ERRATA SU CLUSTER 24256;mob;an;lerru;fermo parziale rru lte;roma;2024-03-11 09:04:11;2024-03-11 16:10:40
24256;"EFMTX;65eeb9387a13f70001b9a92c";romaitdgk85/dxc/5;CORRELAZIONE ERRATA SU CLUSTER 24256;tx;sdh;dxc;loss of signal los;roma;2024-03-11 08:56:40;2024-03-11 08:59:07
24256;"EFMTX;65eeb9d053da8b00018bd11c";romaitdgk83/dxc/3;CORRELAZIONE ERRATA SU CLUSTER 24256;tx;sdh;dxc;loss of signal los;roma;2024-03-11 08:59:11;2024-03-11 09:01:37
24432;"EFM;65eebe1a22c47e0001586dcc";8btsri079;CORRELAZIONE OK SU CLUSTER 24432;mob;an;lebts;fermo totale lte;brgr;2024-03-11 09:17:29;2024-03-11 10:05:03
24432;"EFMTX;65eebd696423e50001f28fd9";brgritbg/prer/1;CORRELAZIONE OK SU CLUSTER 24432;tx;sdh;prer;apparato isolato pr;brgr;2024-03-11 09:14:33;2024-03-11 10:09:23
24432;"EFM;65eebf5e7dcf4f000138f987";8btsri022;CORRELAZIONE ERRATA SU CLUSTER 24432;mob;an;lebts;fermo totale sito;brgr;2024-03-11 09:22:53;2024-03-11 10:54:53
24432;"EFM;65eebf5e7dcf4f000138f988";8btsri022;CORRELAZIONE ERRATA SU CLUSTER 24432;mob;an;lebts;fermo parziale sito;brgr;2024-03-11 09:22:54;2024-03-11 11:03:17
24667;"EFMTX;65eec16bcd606500014b33bc";romaitgc/oadm/14;CORRELAZIONE ERRATA SU CLUSTER 24667;tx;sdh;oadm;loss of signal los;roma;2024-03-11 09:31:39;2024-03-11 14:14:37
24667;"EFMTX;65eec14dcd606500014b33a8";romaitgc/oadm/14;CORRELAZIONE ERRATA SU CLUSTER 24667;tx;sdh;oadm;loss of signal los;roma;2024-03-11 09:31:09;2024-03-11 13:52:38
24667;"EFMTX;65eec1e85e16e30001ac4424";romaitgcbbj/vetritag;CORRELAZIONE ERRATA SU CLUSTER 24667;tx;sdh;;signal degraded;roma;2024-03-11 09:33:44;2024-03-11 13:06:06
24810;"EFM;65eec56755c5eb0001302fa2";8btsrm836;CORRELAZIONE OK CLUSTER 24810 - bts stesso sito;mob;an;lebts;fermo parziale lte;romd;2024-03-11 09:48:38;2024-03-11 14:31:24
24810;"EFM;65eec5687dcf4f000138fa15";2btsrm836;CORRELAZIONE OK CLUSTER 24810 - bts stesso sito;mob;an;lebts;fermo totale lte;romd;2024-03-11 09:48:39;2024-03-11 14:31:26
24810;"EFM;65eec56722c47e0001586e38";nbtsrm836;CORRELAZIONE OK CLUSTER 24810 - bts stesso sito;mob;an;lebts;fermo cella iot;romd;2024-03-11 09:48:39;2024-03-11 14:31:24
24810;"EFM;65eec5677dcf4f000138fa12";2btsrm836;CORRELAZIONE OK CLUSTER 24810 - bts stesso sito;mob;an;lebts;fermo parziale lte;romd;2024-03-11 09:48:38;2024-03-11 14:31:30
24821;"EFM;65eec72a7dcf4f000138fa35";8btsfr026;CORRELAZIONE OK SU CLUSTER 24821;mob;an;lebts;fermo totale sito;fiug;2024-03-11 09:56:10;2024-03-11 12:20:50
24821;"EFMTX;65eec67cf70d760001d5cad0";fiugitab/adsl/100;CORRELAZIONE OK SU CLUSTER 24821;tx;adsl;adsl;fermo totale apparato;fiug;2024-03-11 09:53:16;2024-03-11 12:15:30
24821;"EFMTX;65eec78ca379550001bb18af";fiugitad/ad16/1;CORRELAZIONE OK SU CLUSTER 24821;tx;sdh;ad16;loss of signal los;fiug;2024-03-11 09:57:48;2024-03-11 12:16:16
24821;"EFMTX;65eec7c5cd606500014b398b";fiugitae/ad16/1;CORRELAZIONE OK SU CLUSTER 24821;tx;sdh;ad16;loss of signal los;fiug;2024-03-11 09:58:45;2024-03-11 12:15:21
24821;"EFM;65eec72b7dcf4f000138fa36";8btsfr026;CORRELAZIONE OK SU CLUSTER 24821;mob;an;lebts;fermo parziale sito;fiug;2024-03-11 09:56:10;2024-03-12 10:55:35
24821;"EFM;65eec68b55c5eb0001302fad";gbtsfr026;CORRELAZIONE OK SU CLUSTER 24821;mob;an;erbts;fermo parziale gsm;fiug;2024-03-11 09:53:31;2024-03-12 10:55:33
25111;"EFM;65eecaf17dcf4f000138fab1";dbtsrm63a;CORRELAZIONE ERRATA SU CLUSTER 25111;mob;an;erbts;fermo totale sito;romc;2024-03-11 10:12:16;2024-03-11 10:22:34
25111;"EFM;65eecaf27dcf4f000138fab2";dbtsrm63a;CORRELAZIONE ERRATA SU CLUSTER 25111;mob;an;erbts;fermo parziale sito;romc;2024-03-11 10:12:17;2024-03-11 10:26:15
25111;"EFM;65eecbf422c47e0001586eff";2btsrm0bd;CORRELAZIONE ERRATA SU CLUSTER 25111;mob;an;lebts;fermo totale bbu lte;romc;2024-03-11 10:16:36;2024-03-11 10:20:57
25112;"EFM;65eecb1422c47e0001586eed";2btsrm59f;CORRELAZIONE OK CLUSTER 25112 - bts stesso sito;mob;an;lebts;fermo parziale lte;romd;2024-03-11 10:12:52;2024-03-11 13:59:17
25112;"EFM;65eecb5f55c5eb000130303f";nbtsrm59f;CORRELAZIONE OK CLUSTER 25112 - bts stesso sito;mob;an;lebts;fermo cella iot;romd;2024-03-11 10:14:07;2024-03-11 13:58:40
25112;"EFM;65eecb8d55c5eb0001303043";nbtsrm59f;CORRELAZIONE OK CLUSTER 25112 - bts stesso sito;mob;an;lebts;fermo cella iot;romd;2024-03-11 10:14:53;2024-03-11 13:58:40
25112;"EFM;65eecb5f7dcf4f000138fab6";obtsrm59f;CORRELAZIONE OK CLUSTER 25112 - bts stesso sito;mob;an;vebts;fermo parziale 5g;romd;2024-03-11 10:14:07;2024-03-11 14:48:20
25112;"EFM;65eecb3122c47e0001586eef";7btsrm59f;CORRELAZIONE OK CLUSTER 25112 - bts stesso sito;mob;an;vebts;fermo parziale 5g;romd;2024-03-11 10:13:21;2024-03-11 14:06:09
25170;"EFM;65eecce17dcf4f000138fae8";2btsrm1f9;CORRELAZIONE ERRATA SU CLUSTER 25170;mob;an;lebts;fermo totale sito tec;roma;2024-03-11 10:20:32;2024-03-11 14:00:23
25170;"EFMTX;65eece567a13f70001b9c50d";romaitdg/pxm3/3;CORRELAZIONE ERRATA SU CLUSTER 25170;tx;sdh;pxm3;loss of signal los;roma;2024-03-11 10:26:46;2024-03-11 13:23:45
25170;"EFMTX;65eece567a13f70001b9c511";romaitdg/pxm3/3;CORRELAZIONE ERRATA SU CLUSTER 25170;tx;sdh;pxm3;loss of signal los;roma;2024-03-11 10:26:46;2024-03-11 13:23:45
25170;"EFMTX;65eecc8d06e2d20001aeb8dc";romaitgc/pxm3/2;CORRELAZIONE ERRATA SU CLUSTER 25170;tx;sdh;pxm3;loss of signal los;roma;2024-03-11 10:19:09;2024-03-11 12:12:08
25170;"EFM;65eecce27dcf4f000138fae9";2btsrm1f9;CORRELAZIONE ERRATA SU CLUSTER 25170;mob;an;lebts;fermo parziale sito tec;roma;2024-03-11 10:20:33;2024-03-11 14:04:14
25170;"EFM;65eecc1c7dcf4f000138fad9";gbtsrm1f9;CORRELAZIONE ERRATA SU CLUSTER 25170;mob;an;erbts;fermo parziale gsm;roma;2024-03-11 10:17:16;2024-03-11 14:04:12
25170;"EFMTX;65eecf707a13f70001b9c666";romaitdg/pxm3/3;CORRELAZIONE ERRATA SU CLUSTER 25170;tx;sdh;pxm3;loss of signal los;roma;2024-03-11 10:31:28;2024-03-11 11:07:38
25389;"EFMTX;65eed22df70d760001d5cb08";civiitad/romaitgc;CORRELAZIONE OK CLUSTER 25389;tx;sdh;;loss of signal los;civi;2024-03-11 10:43:09;2024-03-11 12:16:10
25389;"EFMTX;65eed2a55e16e30001ac446e";civiitad/romaitgc;CORRELAZIONE OK CLUSTER 25389;tx;sdh;;receiverfailure och internal receiver failure;civi;2024-03-11 10:45:09;2024-03-11 12:15:24
25389;"EFMTX;65eed1325e16e30001ac4461";civiitad/pxm3/1;CORRELAZIONE OK CLUSTER 25389;tx;sdh;pxm3;optical power rx low opr lt;civi;2024-03-11 10:38:58;2024-03-11 11:21:39
